id;user_id;date;subtotal;discount;total;status;payment_type;shipping_cost;shipping_service;address_city;address_state;utm_source_medium;device_type
144334;16422097;01/02/2016 09:09;104.9;0;112.38;DELIVERED;BOLETO;7.48;Correios eSedex;São Paulo;SP;google / organic;MobileWeb
144335;16363108;01/02/2016 09:18;39.8;0;48.92;DELIVERED;CREDIT CARD;9.12;Correios eSedex;Rio de Janeiro;RJ;facebook / cpc;MobileWeb
144336;4337505;01/02/2016 09:24;19.9;0;33.22;CANCELLED;BOLETO;13.32;Correios PAC;Divinópolis;MG;20510 / fbx;MobileWeb
144337;16430228;01/02/2016 09:27;169.9;0;179.02;DELIVERED;CREDIT CARD;9.12;Correios eSedex;Curitiba;PR;instagram / organic;iOS
144338;16430227;01/02/2016 09:29;189.8;30;159.8;DELIVERED;CREDIT CARD;15.39;Correios PAC;Brasília;DF;zanox / deeplink;MobileWeb
144339;16406305;01/02/2016 09:33;144.7;0;158.56;DELIVERED;CREDIT CARD;13.86;Correios PAC;Rio de Janeiro;RJ;google / cpc;MobileWeb
144340;13580096;01/02/2016 09:34;29.9;0;39.02;DELIVERED;BOLETO;9.12;Correios eSedex;Belo Horizonte;MG;email / newsletter;MobileWeb
144341;16415133;01/02/2016 09:38;109.7;0;115.86;DELIVERED;CREDITS;6.16;Carriers;São Paulo;SP;facebook / cpc;MobileWeb
144342;154421;01/02/2016 09:39;79.9;0;79.9;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;email / newsletter;MobileWeb
144343;16366816;01/02/2016 09:42;499.2;0;499.2;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;email / abandoned-cart;MobileWeb
144344;16387078;01/02/2016 09:43;14.9;0;21.57;DELIVERED;BOLETO;6.67;Carriers;São Bernardo do Campo;SP;criteo / web;MobileWeb
144345;161812;01/02/2016 09:43;319.7;0;319.7;CANCELLED;BOLETO;15.77;Correios PAC;Castelo;ES;email / newsletter;MobileWeb
144346;4157988;01/02/2016 09:44;544.6;0;544.6;DELIVERED;CREDIT CARD;15.23;Correios PAC;Rio de Janeiro;RJ;yahoo / organic;MobileWeb
144347;11105514;01/02/2016 09:46;389.5;0;389.5;DELIVERED;CREDIT CARD;10.77;Correios PAC;Araçatuba;SP;email / newsletter;MobileWeb
144348;16420571;01/02/2016 09:48;149.8;0;149.8;DELIVERED;BOLETO;9.9;Loggi Express;São Paulo;SP;(direct) / (none);MobileWeb
144349;16385021;01/02/2016 09:51;289.8;0;289.8;DELIVERED;CREDIT CARD;7.32;Carriers;Santo André;SP;email / newsletter;MobileWeb
144350;16422197;01/02/2016 09:52;114.7;0;114.7;DELIVERED;BOLETO;14.36;Correios PAC;Brasília;DF;20510 / web;MobileWeb
144351;117579;01/02/2016 09:55;89.8;0;98.92;DELIVERED;BOLETO;9.12;Correios eSedex;Curitiba;PR;email / newsletter;MobileWeb
144352;177209;01/02/2016 09:56;144.8;0;167.14;DELIVERED;BOLETO;22.34;Correios PAC;São Luís;MA;email / newsletter;MobileWeb
144353;16428923;01/02/2016 09:58;104.9;0;111.57;CANCELLED;BOLETO;6.67;Carriers;São Bernardo do Campo;SP;(direct) / (none);MobileWeb
144354;16395748;01/02/2016 09:59;99.8;0;114.7;DELIVERED;CREDIT CARD;14.9;Loggi Super Express;São Paulo;SP;cb2cb7f993366424e65420afe184c7a9.helpscoutdocs.com / referral;MobileWeb
144355;16354437;01/02/2016 09:59;29.8;0;38.92;DELIVERED;CREDIT CARD;9.12;Correios eSedex;Belo Horizonte;MG;email / newsletter;MobileWeb
144356;5481750;01/02/2016 09:59;104.8;0;112.28;DELIVERED;CREDIT CARD;7.48;Correios eSedex;São Paulo;SP;email / newsletter;android
144357;16430240;01/02/2016 09:59;129.9;0;136.57;DELIVERED;BOLETO;6.67;Carriers;Carapicuíba;SP;google / cpc;MobileWeb
144358;838641;01/02/2016 09:59;364.2;0;364.2;DELIVERED;BOLETO;8.58;Correios eSedex;Santos;SP;email / newsletter;MobileWeb
144359;16355294;01/02/2016 10:02;299.6;0;314.38;DELIVERED;CREDIT CARD;14.78;Correios eSedex;Curitiba;PR;google / organic;MobileWeb
144360;16390324;01/02/2016 10:04;279.7;0;279.7;DELIVERED;BOLETO;9.9;Loggi Express;São Paulo;SP;google / cpc;MobileWeb
144361;16430241;01/02/2016 10:05;224.8;0;224.8;DELIVERED;CREDIT CARD;17.05;Correios PAC;Goiânia;GO;modait / cpc;MobileWeb
144362;16367823;01/02/2016 10:06;309.7;0;309.7;DELIVERED;CREDIT CARD;14.27;Correios PAC;Barbosa Ferraz;PR;zanox / deeplink;MobileWeb
144363;16419845;01/02/2016 10:07;229.8;0;229.8;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;email / newsletter;iOS
144364;16403723;01/02/2016 10:07;169.8;0;175.96;DELIVERED;CREDIT CARD;6.16;Carriers;São Paulo;SP;email / newsletter;MobileWeb
144365;161812;01/02/2016 10:08;254.8;0;254.8;DELIVERED;BOLETO;15.77;Correios PAC;Castelo;ES;criteo / web;MobileWeb
144366;16378714;01/02/2016 10:08;124.6;0;130.76;CANCELLED;BOLETO;6.16;Carriers;São Paulo;SP;facebook / cpc;MobileWeb
144367;16372800;01/02/2016 10:11;259.8;0;259.8;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP; / (not set);MobileWeb
144368;16391916;01/02/2016 10:11;124.9;0;139.26;CANCELLED;BOLETO;14.36;Correios PAC;Campo Grande;MS;email / newsletter;iOS
144369;16418699;01/02/2016 10:11;34.9;0;41.91;DELIVERED;BOLETO;7.01;Carriers;Vinhedo;SP;criteo / web;MobileWeb
144370;43485;01/02/2016 10:12;89.9;0;98.48;DELIVERED;CREDIT CARD;8.58;Correios eSedex;Lorena;SP;email / newsletter;MobileWeb
144371;16430246;01/02/2016 10:14;289.7;0;289.7;DELIVERED;BOLETO;15.77;Correios PAC;Passo Fundo;RS;google / organic;MobileWeb
144372;2364645;01/02/2016 10:18;89.8;0;103.12;DELIVERED;CREDIT CARD;13.32;Correios PAC;Viçosa;MG;email / newsletter;MobileWeb
144373;16394384;01/02/2016 10:19;139.8;0;148.92;CANCELLED;BOLETO;9.12;Correios eSedex;Rio de Janeiro;RJ;email / newsletter;iOS
144374;16384670;01/02/2016 10:22;179.8;0;179.8;DELIVERED;CREDIT CARD;13.32;Correios PAC;Guarapuava;PR;email / newsletter;MobileWeb
144375;29649;01/02/2016 10:22;179.8;0;179.8;DELIVERED;CREDIT CARD;13.32;Correios PAC;Patos de Minas;MG;facebook / cpc;MobileWeb
144376;13003257;01/02/2016 10:24;149.5;0;165.18;DELIVERED;CREDIT CARD;15.68;Correios PAC;Águas Frias;SC;email / newsletter;MobileWeb
144377;16426508;01/02/2016 10:25;119.9;0;127.38;DELIVERED;BOLETO;7.48;Correios eSedex;São Bernardo do Campo;SP;google / cpc;MobileWeb
144378;16351088;01/02/2016 10:26;14.9;0;14.9;DELIVERED;CREDIT CARD;16.51;Correios eSedex;Recife;PE;criteo / (not set);MobileWeb
144380;94005;01/02/2016 10:27;79.8;0;93.12;DELIVERED;CREDIT CARD;13.32;Correios PAC;Três Rios;RJ;email / newsletter;MobileWeb
144381;16386332;01/02/2016 10:28;109.9;0;123.22;CANCELLED;BOLETO;13.32;Correios PAC;União da Vitória;PR;facebook / cpc;MobileWeb
144382;16430260;01/02/2016 10:31;149.8;0;158.38;DELIVERED;CREDIT CARD;8.58;Correios eSedex;Ribeirão Preto;SP;(direct) / (none);MobileWeb
144384;165474;01/02/2016 10:32;69.9;0;76.91;DELIVERED;BOLETO;7.01;Carriers;Campinas;SP;criteo / fbx;MobileWeb
144385;64245;01/02/2016 10:33;209.7;0;209.7;DELIVERED;BOLETO;8.58;Correios eSedex;Sorocaba;SP;20510 / web;MobileWeb
144387;16383949;01/02/2016 10:34;114.9;0;124.8;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;email / newsletter;MobileWeb
144388;10198780;01/02/2016 10:34;159.9;0;170.67;DELIVERED;CREDIT CARD;10.77;Correios PAC;Bauru;SP; / (not set);MobileWeb
144389;16389709;01/02/2016 10:35;284.3;0;284.3;DELIVERED;CREDIT CARD;15.23;Correios PAC;Contagem;MG;google / organic;MobileWeb
144390;16429596;01/02/2016 10:40;89.8;0;98.38;DELIVERED;CREDIT CARD;8.58;Correios eSedex;São José dos Campos;SP;iloveecommerce / bannermood;MobileWeb
144391;103482;01/02/2016 10:45;84.8;0;99.16;DELIVERED;CREDIT CARD;14.36;Correios PAC;Porto Alegre;RS;email / newsletter;android
144392;208840;01/02/2016 10:46;54.9;0;54.9;DELIVERED;BOLETO;9.12;Correios eSedex;Belo Horizonte;MG;(direct) / (none);MobileWeb
144393;16430215;01/02/2016 10:49;184.5;0;184.5;CANCELLED;BOLETO;9.12;Correios eSedex;Rio de Janeiro;RJ;google / cpc;MobileWeb
144394;200497;01/02/2016 10:53;239.7;0;239.7;DELIVERED;BOLETO;26.86;Correios PAC;Piancó;PB;email / newsletter;MobileWeb
144395;16381607;01/02/2016 10:56;109.9;0;117.38;DELIVERED;CREDIT CARD;7.48;Correios eSedex;São Paulo;SP;modait / cpc;MobileWeb
144396;117919;01/02/2016 10:56;119.9;0;119.9;DELIVERED;BOLETO;21.35;Correios eSedex;Macapá;AP;(direct) / (none);iOS
144397;16417348;01/02/2016 10:59;134.7;0;142.02;DELIVERED;CREDIT CARD;7.32;Carriers;Guarulhos;SP;email / newsletter;android
144398;229764;01/02/2016 10:59;174.8;0;183.92;CANCELLED;CREDIT CARD;9.12;Correios eSedex;Rio de Janeiro;RJ;email / newsletter;MobileWeb
144399;81864;01/02/2016 11:01;109.9;0;124.62;CANCELLED;BOLETO;14.72;Correios PAC;Cachoeiro de Itapemirim;ES;criteo / web;MobileWeb
144400;7953520;01/02/2016 11:03;89.9;0;99.95;DELIVERED;CREDIT CARD;10.05;Correios PAC;São Lourenço;MG;zanox / deeplink;MobileWeb
144401;16430270;01/02/2016 11:05;119.9;0;119.9;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;(direct) / (none);MobileWeb
144402;267253;01/02/2016 11:08;94.9;0;108.22;DELIVERED;CREDIT CARD;13.32;Correios PAC;Uberlândia;MG;email / newsletter;MobileWeb
144403;16430256;01/02/2016 11:10;79.9;0;89.95;CANCELLED;BOLETO;10.05;Correios PAC;Pedra Bela;SP;google / cpc;MobileWeb
144404;81864;01/02/2016 11:13;104.9;0;119.62;CANCELLED;BOLETO;14.72;Correios PAC;Cachoeiro de Itapemirim;ES;criteo / web;MobileWeb
144406;183304;01/02/2016 11:17;259.7;0;259.7;DELIVERED;BOLETO;13.32;Correios PAC;Cachoeiras de Macacu;RJ;email / newsletter;MobileWeb
144407;16394384;01/02/2016 11:18;219.7;0;219.7;CANCELLED;BOLETO;9.12;Correios eSedex;Rio de Janeiro;RJ;criteo / web;MobileWeb
144408;209767;01/02/2016 11:18;389.6;0;389.6;DELIVERED;CREDIT CARD;14.9;Loggi Super Express;São Paulo;SP;google / cpc;MobileWeb
144409;133670;01/02/2016 11:19;179.9;0;179.9;CANCELLED;BOLETO;9.9;Loggi Express;São Paulo;SP;criteo / (not set);MobileWeb
144410;16390870;01/02/2016 11:23;14.9;0;21.06;DELIVERED;CREDIT CARD;6.16;Carriers;São Paulo;SP;zanox / deeplink;MobileWeb
144411;16430281;01/02/2016 11:25;254.8;0;282.03;DELIVERED;CREDIT CARD;27.23;Correios eSedex;Caxias do Sul;RS;google / organic;MobileWeb
144413;16372978;01/02/2016 11:29;99.8;0;105.96;DELIVERED;CREDIT CARD;6.16;Carriers;São Paulo;SP;google / organic;MobileWeb
144415;16430286;01/02/2016 11:34;104.8;0;112.28;DELIVERED;CREDIT CARD;7.48;Correios eSedex;Osasco;SP;google / cpc;MobileWeb
144416;10404568;01/02/2016 11:35;94.9;0;109.6;DELIVERED;CREDIT CARD;14.7;Correios eSedex;Novo Hamburgo;RS;google / organic;MobileWeb
144417;16430287;01/02/2016 11:35;89.9;0;89.9;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;(direct) / (none);MobileWeb
144418;16382023;01/02/2016 11:36;149.9;0;163.22;CANCELLED;BOLETO;13.32;Correios PAC;Santo Antônio do Monte;MG;google / organic;MobileWeb
144419;16429510;01/02/2016 11:38;164.8;30;149.7;DELIVERED;CREDIT CARD;14.9;Loggi Super Express;São Paulo;SP;zanox / deeplink;MobileWeb
144420;186050;01/02/2016 11:42;674;0;674;DELIVERED;BOLETO;9.9;Loggi Express;São Paulo;SP;criteo / fbx;MobileWeb
144421;16390324;01/02/2016 11:45;219.8;0;219.8;CANCELLED;BOLETO;9.9;Loggi Express;São Paulo;SP; / (not set);MobileWeb
144422;16390307;01/02/2016 11:47;29.9;0;44.26;DELIVERED;CREDITS;14.36;Correios PAC;Brasília;DF;20510 / web;MobileWeb
144423;16362184;01/02/2016 11:47;79.9;0;86.57;DELIVERED;CREDIT CARD;6.67;Carriers;São Bernardo do Campo;SP;email / newsletter;iOS
144424;81864;01/02/2016 11:48;219.9;0;219.9;CANCELLED;BOLETO;15.77;Correios PAC;Cachoeiro de Itapemirim;ES;criteo / web;MobileWeb
144425;15599868;01/02/2016 11:48;99.9;0;106.06;DELIVERED;CREDITS;6.16;Carriers;São Paulo;SP;zanox / deeplink;MobileWeb
144427;16389927;01/02/2016 11:50;134.9;0;142.38;DELIVERED;BOLETO;7.48;Correios eSedex;São Paulo;SP;google / cpc;MobileWeb
144430;16430272;01/02/2016 11:55;104.9;0;121.41;DELIVERED;CREDIT CARD;16.51;Correios eSedex;Salvador;BA;muccashop / web;MobileWeb
144431;16390324;01/02/2016 11:57;219.8;0;219.8;CANCELLED;BOLETO;9.9;Loggi Express;São Paulo;SP; / (not set);MobileWeb
144432;16430302;01/02/2016 11:58;339.7;0;339.7;CANCELLED;BOLETO;14.27;Correios PAC;Paranavaí;PR;google / cpc;MobileWeb
144433;16390324;01/02/2016 11:59;109.9;0;109.9;CANCELLED;BOLETO;9.9;Loggi Express;São Paulo;SP; / (not set);MobileWeb
144435;16370586;01/02/2016 12:05;179.7;0;179.7;DELIVERED;BOLETO;22.79;Correios PAC;Ji-Paraná;RO;criteo / (not set);MobileWeb
144436;138798;01/02/2016 12:05;349.5;0;349.5;DELIVERED;CREDIT CARD;23.93;Correios PAC;Manaus;AM;google / organic;MobileWeb
144437;210595;01/02/2016 12:05;119.9;0;129.02;DELIVERED;CREDIT CARD;9.12;Correios eSedex;Rio de Janeiro;RJ;email / abandoned-cart;MobileWeb
144438;16430306;01/02/2016 12:05;169.8;0;169.8;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;(direct) / (none);MobileWeb
144439;16390324;01/02/2016 12:05;99.9;0;99.9;DELIVERED;BOLETO;9.9;Loggi Express;São Paulo;SP; / (not set);MobileWeb
144440;16402402;01/02/2016 12:06;59.8;0;73.12;DELIVERED;BOLETO;13.32;Correios PAC;Foz do Iguaçu;PR;google / cpc;MobileWeb
144441;5640466;01/02/2016 12:06;719.5;0;719.5;DELIVERED;CREDIT CARD;12.95;Correios PAC;Campinas;SP;email / newsletter;MobileWeb
144442;16430286;01/02/2016 12:08;414.5;0;414.5;DELIVERED;CREDIT CARD;9.01;Correios eSedex;Osasco;SP;google / organic;MobileWeb
144443;16357083;01/02/2016 12:11;199.7;0;199.7;DELIVERED;BOLETO;8.58;Correios eSedex;Ribeirão Preto;SP;email / newsletter;MobileWeb
144444;7085778;01/02/2016 12:12;69.9;0;76.57;DELIVERED;BOLETO;6.67;Carriers;Santo André;SP;20510 / fbx;MobileWeb
144445;16403747;01/02/2016 12:19;344.7;0;344.7;DELIVERED;CREDIT CARD;17.05;Correios PAC;Goiânia;GO;email / newsletter;MobileWeb
144446;16419426;01/02/2016 12:21;264.8;0;264.8;DELIVERED;BOLETO;17.37;Correios PAC;São Mateus;ES;(direct) / (none);MobileWeb
144447;16429449;01/02/2016 12:23;539.4;30;549.72;DELIVERED;BOLETO;40.32;Correios eSedex;Aracaju;SE;email / abandoned-cart;MobileWeb
144448;16430312;01/02/2016 12:28;104.8;0;119.16;DELIVERED;BOLETO;14.36;Correios PAC;Vitória;ES;google / cpc;MobileWeb
144449;146751;01/02/2016 12:29;119.7;0;128.82;DELIVERED;BOLETO;9.12;Correios eSedex;Florianópolis;SC;email / newsletter;MobileWeb
144450;16429346;01/02/2016 12:31;159.9;0;166.06;DELIVERED;BOLETO;6.16;Carriers;São Paulo;SP;instagram / organic;iOS
144451;16386241;01/02/2016 12:39;179.8;0;179.8;DELIVERED;CREDITS;9.12;Correios eSedex;Curitiba;PR;email / newsletter;MobileWeb
144452;1486873;01/02/2016 12:39;194.8;0;194.8;DELIVERED;CREDIT CARD;16.51;Correios eSedex;Maceió;AL;iloveecommerce / cpc;MobileWeb
144453;16383175;01/02/2016 12:43;169.7;0;183.02;DELIVERED;BOLETO;13.32;Correios PAC;Tijucas;SC;google / cpc;MobileWeb
144454;16388867;01/02/2016 12:44;124.7;0;130.86;DELIVERED;BOLETO;6.16;Carriers;São Paulo;SP;(direct) / (none);MobileWeb
144455;16386009;01/02/2016 12:47;89.9;0;98.48;DELIVERED;CREDIT CARD;8.58;Correios eSedex;Guarujá;SP;criteo / fbx;MobileWeb
144456;16422613;01/02/2016 12:51;259.7;0;259.7;DELIVERED;BOLETO;9.01;Correios eSedex;Jandira;SP;email / newsletter;MobileWeb
144457;16364927;01/02/2016 12:53;89.9;0;98.48;DELIVERED;CREDIT CARD;8.58;Correios eSedex;Campinas;SP;email / newsletter;MobileWeb
144459;81864;01/02/2016 12:55;109.9;0;124.62;CANCELLED;BOLETO;14.72;Correios PAC;Cachoeiro de Itapemirim;ES;20510 / fbx;MobileWeb
144460;41715;01/02/2016 12:56;1453.1;0;1453.1;DELIVERED;CREDIT CARD;36.57;Correios PAC;Redenção;PA;zanox / deeplink;MobileWeb
144461;16430325;01/02/2016 12:57;489.6;0;489.6;CANCELLED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;google / organic;MobileWeb
144462;16430282;01/02/2016 12:58;184.7;0;184.7;DELIVERED;BOLETO;15.39;Correios PAC;Cachoeirinha;RS;facebook / cpc;MobileWeb
144463;16390324;01/02/2016 12:58;179.8;0;179.8;DELIVERED;BOLETO;9.9;Loggi Express;São Paulo;SP; / (not set);MobileWeb
144464;79572;01/02/2016 13:10;104.9;0;111.06;DELIVERED;CREDIT CARD;6.16;Carriers;São Paulo;SP;email / newsletter;MobileWeb
144465;16413855;01/02/2016 13:11;199.6;0;199.6;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;email / newsletter;MobileWeb
144466;90166;01/02/2016 13:11;79.9;0;87.38;DELIVERED;CREDIT CARD;7.48;Correios eSedex;São Bernardo do Campo;SP;google / cpc;MobileWeb
144467;152237;01/02/2016 13:13;129.9;0;139.95;DELIVERED;CREDIT CARD;10.05;Correios PAC;Santa Lúcia;SP;email / newsletter;MobileWeb
144468;16417866;01/02/2016 13:19;214.6;0;214.6;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;email / abandoned-cart;MobileWeb
144469;285172;01/02/2016 13:21;104.8;0;104.8;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;(direct) / (none);MobileWeb
144470;16417179;01/02/2016 13:21;354.7;0;354.7;CANCELLED;BOLETO;15.68;Correios PAC;Governador Valadares;MG;(direct) / (none);MobileWeb
144471;16362877;01/02/2016 13:21;104.9;0;114.02;CANCELLED;BOLETO;9.12;Correios eSedex;Belo Horizonte;MG;criteo / (not set);MobileWeb
144472;16417407;01/02/2016 13:23;79.8;0;88.92;DELIVERED;BOLETO;9.12;Correios eSedex;Rio de Janeiro;RJ;zanox / deeplink;MobileWeb
144474;16354854;01/02/2016 13:25;244.7;0;244.7;DELIVERED;CREDIT CARD;7.01;Carriers;Santa Bárbara D'Oeste;SP;google / organic;MobileWeb
144475;920548;01/02/2016 13:26;99.9;0;106.91;CANCELLED;BOLETO;7.01;Carriers;Indaiatuba;SP;facebook / cpc;MobileWeb
144476;16383175;01/02/2016 13:26;79.8;0;93.12;CANCELLED;BOLETO;13.32;Correios PAC;Tijucas;SC;google / cpc;MobileWeb
144477;16414587;01/02/2016 13:27;169.8;0;169.8;DELIVERED;BOLETO;9.12;Correios eSedex;Rio de Janeiro;RJ;criteo / (not set);MobileWeb
144478;16418584;01/02/2016 13:27;119.9;0;129.95;DELIVERED;BOLETO;10.05;Correios PAC;Embaúba;SP;email / abandoned-cart;MobileWeb
144479;43422;01/02/2016 13:28;159.8;0;166.47;CANCELLED;BOLETO;6.67;Carriers;Taboão da Serra;SP;criteo / fbx;MobileWeb
144480;16387812;01/02/2016 13:31;14.9;0;29.6;DELIVERED;CREDIT CARD;14.7;Correios eSedex;Aparecida de Goiânia;GO;criteo / web;MobileWeb
144481;16429629;01/02/2016 13:35;34.9;0;48.22;DELIVERED;BOLETO;13.32;Correios PAC;Morro da Fumaça;SC;google / cpc;MobileWeb
144482;258688;01/02/2016 13:35;864.3;0;864.3;DELIVERED;BOLETO;16.6;Correios PAC;Rio de Janeiro;RJ;google / cpc;MobileWeb
144483;16404316;01/02/2016 13:36;129.9;0;139.02;CANCELLED;BOLETO;9.12;Correios eSedex;Nova Iguaçu;RJ;facebook / cpc;MobileWeb
144484;16430341;01/02/2016 13:36;299.8;0;299.8;DELIVERED;CREDIT CARD;23.93;Correios PAC;Teresina;PI;google / cpc;MobileWeb
144485;11446656;01/02/2016 13:37;224.7;0;224.7;CANCELLED;BOLETO;14.36;Correios PAC;Brasília;DF;criteo / fbx;MobileWeb
144486;13658337;01/02/2016 13:38;39.9;0;39.9;DELIVERED;CREDIT CARD;9.12;Correios eSedex;Rio de Janeiro;RJ;google / cpc;MobileWeb
144487;43422;01/02/2016 13:39;74.9;0;81.57;CANCELLED;BOLETO;6.67;Carriers;Taboão da Serra;SP;facebook / cpc;MobileWeb
144488;16430344;01/02/2016 13:39;139.9;0;156.21;CANCELLED;BOLETO;16.31;Correios PAC;Morrinhos;GO;google / organic;MobileWeb
144489;16371809;01/02/2016 13:41;209.8;0;209.8;DELIVERED;CREDIT CARD;7.32;Carriers;Taboão da Serra;SP;google / organic;MobileWeb
144490;81864;01/02/2016 13:42;124.9;0;140.67;CANCELLED;BOLETO;15.77;Correios PAC;Cachoeiro de Itapemirim;ES;20510 / fbx;MobileWeb
144491;16411449;01/02/2016 13:43;509.6;0;509.6;DELIVERED;CREDIT CARD;9.9;Loggi Express;São Paulo;SP;email / newsletter;MobileWeb
